Waterbody Name,Fish Species Present at Waterbody,Comments,Special Regulations on Waterbody,County,Types of Public Access,Public Fishing Access Owner,Waterbody Information,Longitude,Latitude,Location
Willowemoc Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwillocklb.pdf,-74.81217934,41.903289881,"(41.903289881, -74.81217934)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.693211738,42.366961925,"(42.366961925, -74.693211738)"
West Branch Delaware River (Lower),Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-75.407318767,42.074372406,"(42.074372406, -75.407318767)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Albany,Shore Fishing - Boat Launch (Trailer Improved),Corning City Preserve (Municipal),http://www.dec.ny.gov/outdoor/23912.html,-73.740930806,42.657484231,"(42.657484231, -73.740930806)"
Rondout Creek,Smallmouth Bass - Largemouth Bass - Sunfish - Walleye,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/58871.html,-74.030132584,41.884866772,"(41.884866772, -74.030132584)"
Wallkill River,Smallmouth Bass - Walleye - Carp,Electric Motors Only.,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/58866.html,-74.085494448,41.802085397,"(41.802085397, -74.085494448)"
Esopus Creek,Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfresopusck.pdf,-74.285666094,42.049169943,"(42.049169943, -74.285666094)"
Ramapo River,Brook Trout - Brown Trout* - Rainbow Trout*,None,,Orange,Shore Fishing - Public Fishing Rights,Public Easement - Harriman State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrramapo.pdf,-74.183770586,41.195726627,"(41.195726627, -74.183770586)"
East Branch Cazenovia Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing,Emery County Park,,-78.587049709,42.715571068,"(42.715571068, -78.587049709)"
Schoharie Creek (Lower),Smallmouth Bass - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31464.html,Montgomery,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23885.html,-74.257869822,42.804628354,"(42.804628354, -74.257869822)"
Canoga Creek,Brook Trout*,None,,Seneca,Shore Fishing,Canoga Marsh Wildlife Management Area (DEC),,-76.749289332,42.862553473,"(42.862553473, -76.749289332)"
West Kill,Brook Trout - Brown Trout* - Rainbow Trout,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestkill.pdf,-74.341047462,42.198013111,"(42.198013111, -74.341047462)"
East Kill,Brown Trout* - Rainbow Trout,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.310299294,42.242318111,"(42.242318111, -74.310299294)"
Hoosic River,Brown Trout - Rainbow Trout - Smallmouth Bass - Carp,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhoosic.pdf,-73.402770331,42.950019683,"(42.950019683, -73.402770331)"
Roeliff Jansen Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrrojankil.pdf,-73.661433506,41.99745035,"(41.99745035, -73.661433506)"
Catskill Creek,Brown Trout*,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcatskillc.pdf,-74.132866461,42.402756126,"(42.402756126, -74.132866461)"
Kinderhook Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31438.html,Columbia,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkinderhook.pdf,-73.452182076,42.492412956,"(42.492412956, -73.452182076)"
Poesten Kill,Brook Trout - Brown Trout,None,,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrPoestenk.pdf,-73.582754945,42.70582836,"(42.70582836, -73.582754945)"
Schoharie Creek (Upper),Brook Trout - Brown Trout*,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.399949217,42.283423399,"(42.283423399, -74.399949217)"
Walloomsac River,Brown Trout*,None,,Rensselear,,,,-73.344200937,42.926661166,"(42.926661166, -73.344200937)"
Little Hoosic River,Brown Trout,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhoosic.pdf,-73.36211594,42.731821699,"(42.731821699, -73.36211594)"
West Branch Croton River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31478.html,Putnam,,,,-73.732240069,41.447425921,"(41.447425921, -73.732240069)"
Unadilla River,Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwhartonck.pdf,-75.32751285,42.625903909,"(42.625903909, -75.32751285)"
East Branch Croton River,Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31478.html,Putnam,,,,-73.614916399,41.393534351,"(41.393534351, -73.614916399)"
Schenevus Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschenevus.pdf,-74.908648783,42.518309018,"(42.518309018, -74.908648783)"
Charlotte Creek,Brook Trout - Brown Trout*,None,,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcharlotte.pdf,-74.797009563,42.495790582,"(42.495790582, -74.797009563)"
Butternut Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbuternut.pdf,-75.1538062,42.650821229,"(42.650821229, -75.1538062)"
Wharton Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwhartonck.pdf,-75.30711073,42.625786195,"(42.625786195, -75.30711073)"
Otego Creek,Brook Trout - Brown Trout*,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrotegock.pdf,-75.108053618,42.470664677,"(42.470664677, -75.108053618)"
Chautauqua Creek,Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/chautauquacreek.pdf,-79.578375466,42.30582201,"(42.30582201, -79.578375466)"
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,None,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing - Boat Launch (Trailer Improved),Fort Niagara State Park,http://www.dec.ny.gov/outdoor/67913.html,-79.059249369,43.26100669,"(43.26100669, -79.059249369)"
Eighteen Mile Creek,Brown Trout* - Steelhead* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31420.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/eighteenmilesouth.pdf,-78.940697332,42.699249465,"(42.699249465, -78.940697332)"
Cattaraugus Creek (Upper),Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.478235329,42.534704298,"(42.534704298, -78.478235329)"
Cattaraugus Creek (Lower),Brown Trout* - Steelhead* - Smallmouth Bass - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Cattaraugus,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreeksteelhead.pdf,-78.812560443,42.456066652,"(42.456066652, -78.812560443)"
Lime Lake Outlet,Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/limelakemckin.pdf,-78.481163775,42.45489038,"(42.45489038, -78.481163775)"
Hosmer Brook,Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31442.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.504320212,42.541005854,"(42.541005854, -78.504320212)"
Clear Creek (Arcade),Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/clearcreekarcade.pdf,-78.358837963,42.485671835,"(42.485671835, -78.358837963)"
Canadaway Creek,Brown Trout* - Steelhead* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/canadawaycreek.pdf,-79.364645774,42.475495688,"(42.475495688, -79.364645774)"
Genesee River (Upper),Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/geneseeriver.pdf,-77.985309157,42.171235454,"(42.171235454, -77.985309157)"
Wiscoy Creek,Brook Trout - Brown Trout,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/wiscoy.pdf,-78.244544594,42.580256225,"(42.580256225, -78.244544594)"
East Koy Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/eastkoycreek.pdf,-78.095920517,42.535585592,"(42.535585592, -78.095920517)"
Eighteen Mile Creek,Brown Trout - Steelhead* - Atlantic Salmon - Chinook Salmon* - Coho Salmon* - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31420.html,Niagara,Shore Fishing,Fisherman's Park (Municipal),http://www.dec.ny.gov/outdoor/26912.html,-78.715370228,43.317312455,"(43.317312455, -78.715370228)"
Allegheny River,Smallmouth Bass - Muskellunge* - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/26987.html,-78.529566849,42.10167981,"(42.10167981, -78.529566849)"
Tonawanda Creek (Barge Canal),Smallmouth Bass - Largemouth Bass - Sunfish - Northern  Pike - Walleye - Carp,None,,Niagara,Shore Fishing - Boat Launch (Trailer Improved),West Canal County Park,,-78.821887614,43.051960018,"(43.051960018, -78.821887614)"
Niagara River (Upper),Rainbow Trout - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Muskellunge - Northern Pike - Walleye - Carp,Marina available at state park.,http://www.dec.ny.gov/outdoor/31428.html,Erie,Shore Fishing - Boat Launch (Trailer Improved),Big Six Mile Creek Marina (New York State Park),http://www.dec.ny.gov/outdoor/23898.html,-79.01179447,43.024306611,"(43.024306611, -79.01179447)"
Conewango Creek,Smallmouth Bass - Largemouth Bass - Muskellunge - Northern Pike. Walleye - Carp,None,,Chautauqua,Shore Fishing,Conewango Swamp Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/26987.html,-79.037127689,42.186863764,"(42.186863764, -79.037127689)"
Quaker Run,Brook Trout - Brown Trout*,Camping available at state park.,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing,Allegany State Park,,-78.811538299,42.011411954,"(42.011411954, -78.811538299)"
Ischua Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/ischuacreek.pdf,-78.46307783,42.335441593,"(42.335441593, -78.46307783)"
Red House Brook,Brook Trout* - Brown Trout*,Camping available at state park.,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing,Allegany State Park,,-78.723454083,42.033562728,"(42.033562728, -78.723454083)"
Cassadaga Creek,Smallmouth Bass - Muskellunge - Northern Pike,None,,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cassadagack.pdf,-79.298971392,42.312184901,"(42.312184901, -79.298971392)"
Goose Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/goosecreek.pdf,-79.474890452,42.094907888,"(42.094907888, -79.474890452)"
Clear Creek (Ellington),Brown Trout,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/clearcreekelling.pdf,-79.142188487,42.248976693,"(42.248976693, -79.142188487)"
Oswegatchie River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,Camping available at state park.,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Eel Weir State park,http://www.dec.ny.gov/outdoor/23866.html,-75.474423958,44.630141028,"(44.630141028, -75.474423958)"
Genesee River (Lower),Brown Trout - Steelhead* - Coho Salmon* - Chinook Salmon* - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31420.html,Monroe,Boat Launch (Trailer Improved),Ontario Beach County Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrgeneseriv.pdf,-77.608477482,43.254014557,"(43.254014557, -77.608477482)"
East Branch Owego Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31498.html,Tioga,Shore Fishing - Public Fishing Rights,Public Easement - Michigan Hill State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/r7ebrowegpfr.pdf,-76.192311456,42.394896233,"(42.394896233, -76.192311456)"
Susquehanna River,Smallmouth Bass - Sunfish - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.099795797,42.441881624,"(42.441881624, -75.099795797)"
Mohawk River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Boat Launch (Hand Launch),DEC,,-75.325662919,43.16536357,"(43.16536357, -75.325662919)"
Massapequa Creek,Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31466.html,Nassau,Shore Fishing,Massapequa County Preserve (County Park),,-73.459834106,40.682980209,"(40.682980209, -73.459834106)"
East Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebausable.pdf,-73.709228364,44.388793371,"(44.388793371, -73.709228364)"
Cold Brook,Brook Trout,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,,-74.762287056,43.145357176,"(43.145357176, -74.762287056)"
Trammel Creek,Brook Trout,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrecanadack.pdf,-74.709191549,43.187781202,"(43.187781202, -74.709191549)"
Woodhull Creek,Brook Trout,None,,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwoodhullck.pdf,-75.172557964,43.463330598,"(43.463330598, -75.172557964)"
Raystone Creek,Brook Trout,None,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,Shore Fishing,Winona State Forest (DEC),,-75.946453998,43.735181544,"(43.735181544, -75.946453998)"
Crystal Creek,Brook Trout - Brown Trout - Rainbow Trout,None,,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,,-75.399831197,43.83628139,"(43.83628139, -75.399831197)"
Fish Creek,Brook Trout - Brown Trout,None,,Lewis,Shore Fishing,Independence River Wild Forest (DEC),http://www.dec.ny.gov/lands/22574.html,-75.23988562,43.681656479,"(43.681656479, -75.23988562)"
South Branch Grass River,Brook Trout - Brown Trout,None,,St. Lawrence,Shore Fishing,Grasse River Wild Forest (DEC),http://www.dec.ny.gov/lands/22575.html,-74.975842665,44.28623731,"(44.28623731, -74.975842665)"
Little River,Brook Trout - Brown Trout,None,,St. Lawrence,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrlittler.pdf,-75.064302528,44.194093742,"(44.194093742, -75.064302528)"
Marble River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrchateaugay.pdf,-74.070166392,44.938765922,"(44.938765922, -74.070166392)"
Elm Creek,Brown Trout,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/littleconewangock.pdf,-78.964314103,42.161026511,"(42.161026511, -78.964314103)"
Skinner Creek,Steelhead - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrskinnerck.pdf,-76.102240571,43.696007568,"(43.696007568, -76.102240571)"
Lindsey Creek,Steelhead - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrskinnerck.pdf,-76.129015241,43.678016073,"(43.678016073, -76.129015241)"
Cayuta Creek,Brown Trout* - Sunfish,None,http://www.dec.ny.gov/outdoor/31491.html,Schuyler,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.682587611,42.268607394,"(42.268607394, -76.682587611)"
Oatka Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31462.html,Monroe,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfroatkacreek.pdf,-77.861983259,42.995831451,"(42.995831451, -77.861983259)"
Butternut Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7buttnutpfr.pdf,-76.071802347,42.907448391,"(42.907448391, -76.071802347)"
Seneca River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp - Channel Catfish,None,,Cayuga,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/66680.html,-76.514288087,43.075969728,"(43.075969728, -76.514288087)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.817198164,42.082901848,"(42.082901848, -76.817198164)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.779985774,42.081017495,"(42.081017495, -76.779985774)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.723268419,42.017687092,"(42.017687092, -76.723268419)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.633688086,42.00302355,"(42.00302355, -76.633688086)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.932646575,42.121335045,"(42.121335045, -76.932646575)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.951560082,42.12434275,"(42.12434275, -76.951560082)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23867.html,-77.005565503,42.115777623,"(42.115777623, -77.005565503)"
Cohocton River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcohoctriv.pdf,-77.457560572,42.437261119,"(42.437261119, -77.457560572)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.647377492,42.123912911,"(42.123912911, -75.647377492)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.200778251,42.37722182,"(42.37722182, -75.200778251)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,,Otsego,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.414177322,42.315136051,"(42.315136051, -75.414177322)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.523512866,42.227911346,"(42.227911346, -75.523512866)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.323522111,42.320681805,"(42.320681805, -75.323522111)"
Tioughnioga River,Smallmouth Bass - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31439.html,Cortland,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7tiouripfr.pdf,-76.074395382,42.491709174,"(42.491709174, -76.074395382)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.545790298,42.472548816,"(42.472548816, -75.545790298)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.513107368,42.52378793,"(42.52378793, -75.513107368)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.51039674,42.67881805,"(42.67881805, -75.51039674)"
Chenango River,Brown Trout,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/63442.html,-75.608074811,42.859004393,"(42.859004393, -75.608074811)"
Salmon River,Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Atlantic Salmon* - Smallmouth Bass,Camping available at state park.,,Oswego,Shore Fishing,Selkirk Shores State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/r7salrivpfr.pdf,-76.203504438,43.567459626,"(43.567459626, -76.203504438)"
Carmans River,Brook Trout* - Brown Trout* - Rainbow Trout*,Tidal,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23865.html,-72.883488915,40.801573033,"(40.801573033, -72.883488915)"
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,Tidal,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Suffolk County Park,http://www.dec.ny.gov/outdoor/23865.html,-73.210978492,40.857799176,"(40.857799176, -73.210978492)"
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,Tidal - Town park permit required.,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Boat Launch (Hand Launch),Municipal,http://www.dec.ny.gov/outdoor/23865.html,-73.200498701,40.863841594,"(40.863841594, -73.200498701)"
Saranac River,Atlantic Salmon - Brown Trout - Rainbow Trout - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsaranac.pdf,-73.449905785,44.689202541,"(44.689202541, -73.449905785)"
Salmon River,Brook Trout - Brown Trout*,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrc.pdf,-73.695253902,44.590756132,"(44.590756132, -73.695253902)"
